SampleID,PlayerStd,SeasonEndYear,TeamAtSeasonStart,InitMarketValue,FinalMarketValue,AgeAtSeasonStart,InjuryDays,GamesMissed,InjuryCount,TeamStartElo,SeqLen,MinutesTotal,League,Split
Sime Vrsaljko_2021,Sime Vrsaljko,2021,Atlético Madrid,10000000.0,5000000.0,28.0,0,0,0,1899.56,9,519,La Liga,train
Sime Vrsaljko_2022,Sime Vrsaljko,2022,Atlético Madrid,5000000.0,5000000.0,29.0,217,38,3,1895.43,21,914,La Liga,train
Omer Beyaz_2022,Omer Beyaz,2022,Stuttgart,1000000.0,1000000.0,18.0,8,0,1,1638.95,4,71,Bundesliga,train
Lubomir Tupta_2021,Lubomir Tupta,2021,Hellas Verona,350000.0,350000.0,22.0,19,3,2,1548.41,2,50,Serie A,train
Lukasz Piszczek_2021,Lukasz Piszczek,2021,Dortmund,1300000.0,750000.0,35.0,27,6,3,1836.98,10,450,Bundesliga,train
Aaron Ciammaglichella_2025,Aaron Ciammaglichella,2025,Torino,1000000.0,700000.0,19.0,110,19,3,1738.89,1,1,Serie A,test
Aaron Connolly_2021,Aaron Connolly,2021,Brighton,7000000.0,7000000.0,20.0,75,16,4,1653.63,16,702,Premier League,train
Aaron Connolly_2022,Aaron Connolly,2022,Brighton,7000000.0,6000000.0,21.0,0,0,0,1729.43,4,156,Premier League,train
Aaron Cresswell_2021,Aaron Cresswell,2021,West Ham,6500000.0,5000000.0,30.0,11,2,2,1672.36,35,3080,Premier League,train
Aaron Cresswell_2022,Aaron Cresswell,2022,West Ham,4000000.0,3000000.0,32.0,0,0,0,1811.0,29,2546,Premier League,train
Aaron Cresswell_2023,Aaron Cresswell,2023,West Ham,2500000.0,1200000.0,32.0,0,0,0,1782.93,28,2235,Premier League,train
Aaron Cresswell_2024,Aaron Cresswell,2024,West Ham,900000.0,900000.0,34.0,0,0,0,1805.91,10,429,Premier League,val
Aaron Cresswell_2025,Aaron Cresswell,2025,West Ham,700000.0,500000.0,35.0,11,2,1,1726.24,17,756,Premier League,test
Aaron Lennon_2022,Aaron Lennon,2022,Burnley,1000000.0,1000000.0,34.0,0,0,0,1700.82,27,1533,Premier League,train
Aaron Leya Iseka_2021,Aaron Leya Iseka,2021,Metz,2000000.0,2500000.0,23.0,0,0,0,1572.91,20,1004,Ligue 1,train
Aaron Malouda_2024,Aaron Malouda,2024,Lille,150000.0,150000.0,17.0,0,0,0,1693.01,1,1,Ligue 1,val
Aaron Malouda_2025,Aaron Malouda,2025,Lille,100000.0,150000.0,19.0,0,0,0,1804.44,1,2,Ligue 1,test
